tag,key,predicate,object
access=agricultural,access,osm:access,osm:Agricultural  
access=customers,access,osm:access,osm:Customers 
access=delivery,access,osm:access,osm:Delivery 
access=designated,access,osm:access,osm:Designated  
access=destination,access,osm:access,osm:Destination 
access=discouraged,access,osm:access,osm:Discouraged
access=dismount,access,osm:access,osm:Dismount
access=emergency,access,osm:access,osm:Emergency
access=forestry,access,osm:access,osm:Forestry
access=no,access,osm:access,osm:NoAccess  
access=permissive,access,osm:access,osm:Permissive  
access=private,access,osm:access,osm:Private 
access=use_sidepath,access,osm:access,osm:UseSidepath
access=yes,access,osm:access,osm:FreeAccess
barrier=block,barrier,osm:barrier,osm:Block
barrier=bollard,barrier,osm:barrier,osm:Bollard
barrier=border_control,barrier,osm:barrier,osm:BorderControl
barrier=bump_gate,barrier,osm:barrier,osm:BumpGate
barrier=bus_trap,barrier,osm:barrier,osm:BusTrap
barrier=cattle_grid,barrier,osm:barrier,osm:CattleGrid
barrier=chain,barrier,osm:barrier,osm:Chain
barrier=cycle_barrier,barrier,osm:barrier,osm:CycleBarrier
barrier=debris,barrier,osm:barrier,osm:Debris
barrier=entrance,barrier,osm:barrier,osm:Entrance
barrier=gate,barrier,osm:barrier,osm:Gate
barrier=lift_gate,barrier,osm:barrier,osm:LiftGate
barrier=sally_port,barrier,osm:barrier,osm:SallyPort
barrier=swing_gate,barrier,osm:barrier,osm:SwingGate
barrier=toll_booth,barrier,osm:barrier,osm:TollBooth
barrier=turnstile,barrier,osm:barrier,osm:Turnstile
bicycle=designated,bicycle,osm:bicycle,osm:Designated
bicycle=destination,bicycle,osm:bicycle,osm:Destination
bicycle=dismount,bicycle,osm:bicycle,osm:Dismount
bicycle=no,bicycle,osm:bicycle,osm:NoAccess
bicycle=official,bicycle,osm:bicycle,osm:OfficialAccess
bicycle=permissive,bicycle,osm:bicycle,osm:Permissive
bicycle=private,bicycle,osm:bicycle,osm:Private
bicycle=use_sidepath,bicycle,osm:bicycle,osm:UseSidepath
bicycle=yes,bicycle,osm:bicycle,osm:FreeAccess
construction=yes,construction,osm:construction,osm:UnderConstruction
crossing=uncontrolled,crossing,osm:crossing,osm:Uncontrolled
crossing=unmarked,crossing,osm:crossing,osm:Unmarked
cycleway=lane,cycleway,osm:cycleway,osm:Lane
cycleway=opposite,cycleway,osm:cycleway,osm:Opposite
cycleway=opposite_lane,cycleway,osm:cycleway,osm:OppositeLane
cycleway=opposite_track,cycleway,osm:cycleway,osm:OppositeTrack
cycleway=share_busway,cycleway,osm:cycleway,osm:ShareBusway
cycleway=shared,cycleway,osm:cycleway,osm:Shared
cycleway=shared_lane,cycleway,osm:cycleway,osm:SharedLane
cycleway=track,cycleway,osm:cycleway,osm:Track
footway=sidewalk,footway,osm:footway,osm:Sidewalk
highway=bridleway,highway,osm:highway,osm:Bridleway
highway=construction,highway,osm:highway,osm:Construction
highway=crossing,highway,osm:highway,osm:HighwayCrossing
highway=cycleway,highway,osm:highway,osm:CycleHighway
highway=footway,highway,osm:highway,osm:FootHighway
highway=give_way,highway,osm:highway,osm:GiveWay
highway=living_street,highway,osm:highway,osm:LivingStreet
highway=motorway,highway,osm:highway,osm:Motorway
highway=motorway_link,highway,osm:highway,osm:MotorwayLink
highway=path,highway,osm:highway,osm:Path
highway=primary,highway,osm:highway,osm:Primary 
highway=primary_link,highway,osm:highway,osm:PrimaryLink  
highway=proposed,highway,osm:highway,osm:Proposed
highway=residential,highway,osm:highway,osm:Residential  
highway=road,highway,osm:highway,osm:Road
highway=secondary,highway,osm:highway,osm:Secondary 
highway=secondary_link,highway,osm:highway,osm:SecondaryLink  
highway=service,highway,osm:highway,osm:Service 
highway=steps,highway,osm:highway,osm:Steps
highway=stop,highway,osm:highway,osm:Stop
highway=tertiary,highway,osm:highway,osm:Tertiary  
highway=tertiary_link,highway,osm:highway,osm:TertiaryLink 
highway=track,highway,osm:highway,osm:Track 
highway=traffic_signals,highway,osm:highway,osm:TrafficSignals
highway=trunk,highway,osm:highway,osm:Trunk
highway=trunk_link,highway,osm:highway,osm:TrunkLink 
highway=unclassified,highway,osm:highway,osm:Unclassified  
motor_vehicle=agricultural,motor_vehicle,osm:motor_vehicle,osm:Agricultural
motor_vehicle=customers,motor_vehicle,osm:motor_vehicle,osm:Customers
motor_vehicle=delivery,motor_vehicle,osm:motor_vehicle,osm:Delivery
motor_vehicle=designated,motor_vehicle,osm:motor_vehicle,osm:Designated
motor_vehicle=destination,motor_vehicle,osm:motor_vehicle,osm:Destination
motor_vehicle=no,motor_vehicle,osm:motor_vehicle,osm:NoAccess
motor_vehicle=official,motor_vehicle,osm:motor_vehicle,osm:Official
motor_vehicle=permissive,motor_vehicle,osm:motor_vehicle,osm:Permissive
motor_vehicle=private,motor_vehicle,osm:motor_vehicle,osm:Private
motor_vehicle=yes,motor_vehicle,osm:motor_vehicle,osm:FreeAccess
motorcar=agricultural,motorcar,osm:motorcar,osm:Agricultural
motorcar=customers,motorcar,osm:motorcar,osm:Customers
motorcar=delivery,motorcar,osm:motorcar,osm:Delivery
motorcar=designated,motorcar,osm:motorcar,osm:Designated
motorcar=destination,motorcar,osm:motorcar,osm:Destination
motorcar=forestry,motorcar,osm:motorcar,osm:Forestry
motorcar=no,motorcar,osm:motorcar,osm:NoAccess
motorcar=official,motorcar,osm:motorcar,osm:Official
motorcar=permissive,motorcar,osm:motorcar,osm:Permissive
motorcar=private,motorcar,osm:motorcar,osm:Private
motorcar=yes,motorcar,osm:motorcar,osm:FreeAccess
oneway:bicycle=-1,oneway:bicycle,osm:oneway_bicycle,osm:InReverseOrder
oneway:bicycle=1,oneway:bicycle,osm:oneway_bicycle,osm:InOrder
oneway:bicycle=no,oneway:bicycle,osm:oneway_bicycle,osm:Bidirectional
oneway:bicycle=yes,oneway:bicycle,osm:oneway_bicycle,osm:InOrder
oneway=-1,oneway,osm:oneway,osm:InReverseOrder
oneway=1,oneway,osm:oneway,osm:InOrder
oneway=yes,oneway,osm:oneway,osm:Bidirectional
oneway=no,oneway,osm:oneway,osm:InOrder
smoothness=bad,smoothness,osm:smoothness,osm:BadSmoothness
smoothness=excellent,smoothness,osm:smoothness,osm:ExcellentSmoothness
smoothness=good,smoothness,osm:smoothness,osm:GoodSmoothness
smoothness=horrible,smoothness,osm:smoothness,osm:HorribleSmoothness
smoothness=impassable,smoothness,osm:smoothness,osm:ImpassableSmoothness
smoothness=intermediate,smoothness,osm:smoothness,osm:IntermediateSmoothness
smoothness=very_bad,smoothness,osm:smoothness,osm:VeryBadSmoothness
smoothness=very_horrible,smoothness,osm:smoothness,osm:VeryHorribleSmoothness
surface=asphalt,surface,osm:surface,osm:Asphalt
surface=cobblestone,surface,osm:surface,osm:Cobblestone
surface=compacted,surface,osm:surface,osm:Compacted
surface=concrete,surface,osm:surface,osm:Concrete
surface=dirt,surface,osm:surface,osm:Dirt
surface=earth,surface,osm:surface,osm:Dirt
surface=fine_gravel,surface,osm:surface,osm:FineGravel
surface=grass,surface,osm:surface,osm:Grass
surface=gravel,surface,osm:surface,osm:Gravel
